match_id,Team,id,name,short_name,skill,role,red_card,yellow_card,green_card,jersey,played,captain,on_court,starter,top_raider,top_defender,Player_points_total,raider_points_total,raider_points_touch,raider_points_raid_bonus,tackle_points_total,tackle_points_capture,tackle_points_capture_bonus,raids_total,raids_successful,raids_unsuccessful,raids_Empty,raids_total,raids_successful,raids_unsuccessful,raids_Empty,tackles_total,tackles_successful,tackles_unsuccessful
4,KOL,66,Mahesh Goud,Mahesh Goud,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,5,4,1,3,3,0,11,4,3,4,11,4,3,4,7,3,4
4,KOL,108,Shyam Kumar Sah,Shyam Kumar Sah,,,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6,4,4,0,2,2,0,5,3,2,0,5,3,2,0,6,2,4
4,KOL,141,Sunil Jaipal,Sunil Jaipal,,,FALSE,FALSE,FALSE,66,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,2,2,0,1,1,0,9,2,1,6,9,2,1,6,3,1,2
4,KOL,5,Farhad Kamal Gharibi,Farhad Kamal Gharibi,,,FALSE,FALSE,FALSE,99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,KOL,73,Nilesh Shinde,Nilesh Shinde,,,FALSE,FALSE,FALSE,6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,KOL,75,Nitin Madane,Nitin Madane,,,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,6,5,1,3,3,0,14,6,4,4,14,6,4,4,8,3,5
4,KOL,77,Parveen Kumar,Parveen Kumar,,,FALSE,FALSE,FALSE,66,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,KOL,13,Seong Ryeol Kim,Seong Ryeol Kim,,,FALSE,FALSE,FALSE,85,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,KOL,99,Sanjay Sharma,Sanjay Sharma,,,FALSE,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,54,Jeeva Kumar,Jeeva Kumar,,,FALSE,FALSE,FALSE,6,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,146,Surender Nada,Surender Nada,,,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
4,MUM,8,Masayuki Shimokawa,Masayuki Shimokawa,,,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,53,Jeeva Gopal,Jeeva Gopal,,,FALSE,FALSE,FALSE,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,94,Rishank Devadiga,Rishank Devadiga,,,FALSE,FALSE,FALSE,777,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,7,4,3,1,3,3,0,7,2,3,2,7,2,3,2,6,3,3
4,MUM,105,Shabeer Bappu,Shabeer Bappu,,,FALSE,FALSE,FALSE,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,15,15,12,3,0,0,0,18,12,0,6,18,12,0,6,12,0,12
4,MUM,1,Mohammad Ziaur Rahman,Mohammad Ziaur Rahman,,,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,117,Suresh Pathapalem,Suresh Pathapalem,,,FALSE,FALSE,FALSE,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,123,Vishal Mane,Vishal Mane,,,FALSE,FALSE,FALSE,12,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,29,Anup Kumar,Anup Kumar,,,FALSE,FALSE,FALSE,3,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,8,4,2,2,4,4,0,12,3,5,4,12,3,5,4,6,4,2
4,MUM,145,Md. Aruduzzaman Munshi,Aruduzzaman Munshi,,,FALSE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,MUM,71,Mohit Chhillar,Mohit Chhillar,,,FALSE,FALSE,FALSE,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DEL,47,Haresh Jalmi,Haresh Jalmi,,,FALSE,FALSE,FALSE,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DEL,28,Amit Singh Chhillar,Amit Singh Chhillar,,,FALSE,FALSE,FALSE,4,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DEL,80,Punit Kumar Teotia,Punit Kumar Teotia,,,FALSE,FALSE,FALSE,5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,0,1,0,0,0,3,1,0,2,3,1,0,2,0,0,0
5,DEL,9,Takamitsu Kono,Takamitsu Kono,,,FALSE,FALSE,FALSE,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DEL,11,Dong Ju Hong,Dong Ju Hong,,,FALSE,FALSE,FALSE,55,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DEL,51,Jasmer Singh Gulia,Jasmer Singh Gulia,,,FALSE,FALSE,FALSE,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,0,0,0,2,1,0,1,2,1,0,1,1,0,1
5,DEL,107,Shrikant Tewthia,Shrikant Tewthia,,,FALSE,FALSE,FALSE,12,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,3,1,2,0,0,0,4,3,0,1,4,3,0,1,1,0,1
5,DEL,58,Kashiling Adake,Kashiling Adake,,,FALSE,FALSE,FALSE,11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,8,5,4,1,3,3,1,9,3,2,4,9,3,2,4,6,2,4
5,DEL,38,Dadaso Balaso Awad,Dadaso Balaso Awad,,,FALSE,FALSE,FALSE,9,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
5,DEL,4,Ehsan Zamani Fard,Ehsan Zamani Fard,,,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,DEL,118,Surjeet Narwal,Surjeet Narwal,,,FALSE,FALSE,FALSE,10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,17,13,12,1,4,4,1,21,13,3,5,21,13,3,5,15,3,12
5,DEL,33,Bhabesh Kumar,Bhabesh Kumar,,,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PUN,16,Waleed Al Hasani,Waleed Al Hasani,,,FALSE,FALSE,FALSE,70,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PUN,148,Sunil Subhash Lande,Sunil Subhash Lande,,,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PUN,151,Vikas Tomar,Vikas Tomar,,,FALSE,FALSE,FALSE,12,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,PUN,56,Kalimuthu Balamahendran,Kalimuthu Balamahendran,,,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,3,3,0,0,0,0,2,1,0,1,2,1,0,1,3,0,3
